Admission Date,Company Name,ICB Industry,ICB Super-Sector,Country of Incorporation,World Region,Market,International Issuer,Company Market Cap (million GBP)
27/06/2007,BRAIME GROUP PLC,Basic Materials,Basic Resources,United Kingdom,Europe,AIM ,No,18.96
09/05/2006,BRAND ARCHITEKTS GROUP PLC,Consumer Discretionary,Consumer Products and Services,United Kingdom,Europe,AIM ,No,13.16
12/11/2013,BRAVE BISON GROUP PLC,Technology,Technology,United Kingdom,Europe,AIM ,No,29.07
30/03/2007,BRAVEHEART INVESTMENT GROUP PLC,Financials,Financial Services ,United Kingdom,Europe,AIM ,No,3.5
06/09/2010,BREEDON GROUP PLC,Industrials,Construction and Materials,United Kingdom,Europe,MAIN MARKET ,No,"1,498.33"
29/08/2019,BRICKABILITY GROUP PLC,Industrials,Construction and Materials,United Kingdom,Europe,AIM ,No,183.55
21/07/2021,BRIDGEPOINT GROUP PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,"3,140.82"
27/04/2016,BRIGHTON PIER GROUP PLC (THE),Consumer Discretionary,Travel and Leisure,United Kingdom,Europe,AIM ,No,8.76
29/10/1992,BRISTOL WATER PLC,Utilities,Utilities,United Kingdom,Europe,MAIN MARKET ,No,16.19
04/06/1947,BRITISH & AMERICAN INVESTMENT TRUST PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,5.5
29/01/1962,BRITISH AMERICAN TOBACCO PLC,Consumer Staples ,"Food, Beverage and Tobacco ",United Kingdom,Europe,MAIN MARKET ,No,"70,558.14"
20/03/1951,BRITISH LAND COMPANY PLC,Real Estate,Real Estate ,United Kingdom,Europe,MAIN MARKET ,No,"3,768.81"
12/04/2001,BRITISH SMALLER COMPANIES VCT2 PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,147.54
04/04/1996,BRITISH SMALLER COMPANIES VCT PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,224.95
11/03/2005,BROOKS MACDONALD GROUP PLC,Financials,Financial Services ,United Kingdom,Europe,AIM ,No,244.39
11/03/1993,BROWN ADVISORY US SMALLER COMPANIES PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,170.92
10/11/1972,BROWN (N) GROUP PLC,Consumer Discretionary,Retail ,United Kingdom,Europe,AIM ,No,185.65
28/02/1950,BRUNNER INVESTMENT TRUST PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,618.44
26/07/2019,BSF ENTERPRISE PLC,Health Care ,Health Care  ,United Kingdom,Europe,MAIN MARKET ,No,3.7
03/12/1984,BT GROUP PLC,Telecommunications,Telecommunications,United Kingdom,Europe,MAIN MARKET ,No,"14,128.75"
20/06/1957,BUNZL PLC,Industrials,Industrial Goods and Services,United Kingdom,Europe,MAIN MARKET ,No,"11,389.97"
18/07/2002,BURBERRY GROUP PLC,Consumer Discretionary,Consumer Products and Services,United Kingdom,Europe,MAIN MARKET ,No,"4,274.32"
21/10/2009,BURFORD CAPITAL LIMITED,Financials,Financial Services ,Guernsey,Europe,AIM ,No,"2,505.80"
26/03/2012,BUSHVELD MINERALS LIMITED,Basic Materials,Basic Resources,Guernsey,Europe,AIM ,No,0
11/12/2020,BYTES TECHNOLOGY GROUP PLC,Technology,Technology,United Kingdom,Europe,MAIN MARKET ,No,"1,113.70"
06/07/2023,CAB PAYMENTS HOLDINGS PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,155.03
31/03/2006,CADENCE MINERALS PLC,Basic Materials,Basic Resources,United Kingdom,Europe,AIM ,No,5.92
23/06/2008,CADOGAN ENERGY SOLUTIONS PLC,Energy,Energy,United Kingdom,Europe,MAIN MARKET ,No,11.11
22/07/1961,CAFFYNS PLC,Consumer Discretionary,Retail ,United Kingdom,Europe,MAIN MARKET ,No,12.82
10/06/2015,CAIRN HOMES PLC,Consumer Discretionary,Consumer Products and Services,Ireland,Europe,MAIN MARKET ,Yes,"1,178.47"
27/06/2018,CAKE BOX HOLDINGS PLC,Consumer Staples ,"Personal Care, Drug and Grocery Stores ",United Kingdom,Europe,AIM ,No,78
08/04/2010,CALCULUS VCT PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,39.42
01/06/1960,CALEDONIA INVESTMENTS PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,"2,029.43"
27/06/2005,CALEDONIA MINING CORPORATION PLC,Basic Materials,Basic Resources,Jersey,Europe,AIM ,No,148.43
05/10/2020,CALNEX SOLUTIONS PLC,Telecommunications,Telecommunications,United Kingdom,Europe,AIM ,No,57.35
18/04/2013,CAMBRIDGE COGNITION HOLDINGS PLC,Health Care ,Health Care  ,United Kingdom,Europe,AIM ,No,19.08
21/12/2010,CAMBRIDGE NUTRITIONAL SCIENCES PLC,Health Care ,Health Care  ,United Kingdom,Europe,AIM ,No,8.21
19/09/2014,CAMELLIA PLC,Consumer Staples ,"Food, Beverage and Tobacco ",United Kingdom,Europe,AIM ,No,133.88
27/02/1995,"CANADIAN GENERAL INVESTMENTS, LD",Financials,Financial Services ,Canada,North America,MAIN MARKET ,Yes,477.72
04/04/2014,CANADIAN OVERSEAS PETROLEUM LIMITED,Energy,Energy,Canada,North America,MAIN MARKET ,Yes,2.11
16/12/2024,CANAL+ S.A,Consumer Discretionary,Media,France,Europe,MAIN MARKET ,Yes,"1,822.73"
09/02/1973,CAPITAL GEARING TRUST PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,901.65
07/06/2010,CAPITAL LIMITED,Basic Materials,Basic Resources,Bermuda,North America,MAIN MARKET ,Yes,149.16
26/02/2010,CAPITAL METALS PLC,Basic Materials,Basic Resources,United Kingdom,Europe,AIM ,No,5.34
21/08/1991,CAPITA PLC,Industrials,Industrial Goods and Services,United Kingdom,Europe,MAIN MARKET ,No,245.32
22/12/1988,CAPRICORN ENERGY PLC,Energy,Energy,United Kingdom,Europe,MAIN MARKET ,No,218.38
20/04/2006,CAP-XX LIMITED,Industrials,Industrial Goods and Services,Australia,Pacific,AIM ,Yes,7.94
24/06/2016,CARACAL GOLD PLC,Basic Materials,Basic Resources,United Kingdom,Europe,MAIN MARKET ,No,6.83
30/06/1959,CARCLO PLC,Industrials,Industrial Goods and Services,United Kingdom,Europe,MAIN MARKET ,No,17.11
20/05/2014,CARD FACTORY PLC,Consumer Discretionary,Retail ,United Kingdom,Europe,MAIN MARKET ,No,330.58
18/06/1947,CARDIFF PROPERTY PLC,Real Estate,Real Estate ,United Kingdom,Europe,MAIN MARKET ,No,26.98
07/03/2017,CARE REIT PLC,Real Estate,Real Estate ,United Kingdom,Europe,MAIN MARKET ,No,354.28
30/07/1999,CARILLION PLC,Industrials,Industrial Goods and Services,United Kingdom,Europe,MAIN MARKET ,No,61.1
23/10/2000,CARNIVAL PLC,Consumer Discretionary,Travel and Leisure,United Kingdom,Europe,MAIN MARKET ,No,"2,968.55"
17/05/1972,CARR'S GROUP PLC,Consumer Staples ,"Food, Beverage and Tobacco ",United Kingdom,Europe,MAIN MARKET ,No,118.52
03/03/2008,CASPIAN SUNRISE PLC,Energy,Energy,United Kingdom,Europe,AIM ,No,65.39
02/10/2020,CASSELL CAPITAL PLC,Consumer Discretionary,Travel and Leisure,United Kingdom,Europe,MAIN MARKET ,No,0.78
18/10/2021,CASTELNAU GROUP LIMITED,Financials,Financial Services ,Guernsey,Europe,MAIN MARKET ,No,290.55
25/03/1973,CASTINGS PLC,Basic Materials,Basic Resources,United Kingdom,Europe,MAIN MARKET ,No,117.34
02/09/2005,CATALYST MEDIA GROUP PLC,Telecommunications,Telecommunications,United Kingdom,Europe,AIM ,No,15.77
01/07/2003,CATENAI PLC,Consumer Discretionary,Media,United Kingdom,Europe,AIM ,No,0.67
27/09/2004,CATHAY FINANCIAL HOLDING CO LTD,Financials,Insurance,Taiwan,Asia,ADMISSION TO TRADING ONLY ,Yes,-
05/12/2018,CAVENDISH FINANCIAL PLC,Financials,Financial Services ,United Kingdom,Europe,AIM ,No,35.77
19/05/2004,C&C GROUP PLC,Consumer Staples ,"Food, Beverage and Tobacco ",Ireland,Europe,MAIN MARKET ,Yes,551.41
15/12/2015,CC JAPAN INCOME & GROWTH TRUST PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,252.62
22/10/2018,CEIBA INVESTMENTS LIMITED,Financials,Financial Services ,Guernsey,Europe,MAIN MARKET ,No,33.04
19/10/2018,CELADON PHARMACEUTICALS PLC,Health Care ,Health Care  ,United Kingdom,Europe,AIM ,No,11.02
26/02/2021,CEL AI PLC,Consumer Staples ,"Personal Care, Drug and Grocery Stores ",United Kingdom,Europe,MAIN MARKET ,No,1.63
16/06/2008,CELEBRUS TECHNOLOGIES PLC,Technology,Technology,United Kingdom,Europe,AIM ,No,90.22
30/01/2023,CELSIUS RESOURCES LIMITED,Basic Materials,Basic Resources,Australia,Pacific,AIM ,Yes,13.35
22/12/2005,CELTIC PLC,Consumer Discretionary,Travel and Leisure,United Kingdom,Europe,AIM ,No,235.06
17/12/2004,CENTAUR MEDIA PLC,Consumer Discretionary,Media,United Kingdom,Europe,MAIN MARKET ,No,40.88
30/09/2010,CENTRAL ASIA METALS PLC,Basic Materials,Basic Resources,United Kingdom,Europe,AIM ,No,273.95
17/02/1997,CENTRICA PLC,Utilities,Utilities,United Kingdom,Europe,MAIN MARKET ,No,"7,218.36"
13/02/2007,CEPS PLC,Financials,Financial Services ,United Kingdom,Europe,AIM ,No,4.73
25/11/2004,CERES POWER HOLDINGS PLC,Energy,Energy,United Kingdom,Europe,MAIN MARKET ,No,302.37
18/03/2016,CERILLION PLC,Technology,Technology,United Kingdom,Europe,AIM ,No,478.12
16/06/2010,CHALLENGER ENERGY GROUP PLC,Energy,Energy,Isle of Man,Europe,AIM ,No,23.88
07/12/2023,CHAPEL DOWN GROUP PLC,Consumer Staples ,"Food, Beverage and Tobacco ",United Kingdom,Europe,AIM ,No,59.18
19/05/2008,CHARIOT LIMITED,Energy,Energy,Guernsey,Europe,AIM ,No,19.56
19/04/1999,CHECKIT PLC,Technology,Technology,United Kingdom,Europe,AIM ,No,18.36
12/05/1999,CHELVERTON UK DIVIDEND TRUST PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,32.4
07/06/1974,CHEMRING GROUP PLC,Industrials,Industrial Goods and Services,United Kingdom,Europe,MAIN MARKET ,No,871.14
08/05/2015,CHENAVARI TORO INCOME FUND LIMITED,Financials,Financial Services ,Guernsey,Europe,MAIN MARKET ,No,151.84
25/05/2004,CHESNARA PLC,Financials,Insurance,United Kingdom,Europe,MAIN MARKET ,No,400.88
29/08/2017,CHESTERFIELD RESOURCES PLC,Basic Materials,Basic Resources,United Kingdom,Europe,MAIN MARKET ,No,0.52
03/02/2016,CHILL BRANDS GROUP PLC,Health Care ,Health Care  ,United Kingdom,Europe,MAIN MARKET ,No,10.89
17/06/2020,"CHINA PACIFIC INSURANCE (GROUP) CO., LTD",Financials,Insurance,China,Asia,MAIN MARKET ,Yes,-
23/03/2005,CHINA STEEL CORPORATION,Basic Materials,Basic Resources,Taiwan,Asia,ADMISSION TO TRADING ONLY ,Yes,-
25/09/2020,"CHINA YANGTZE POWER CO., LTD",Utilities,Utilities,China,Asia,MAIN MARKET ,Yes,-
10/11/2005,CHRISTIE GROUP PLC,Industrials,Industrial Goods and Services,United Kingdom,Europe,AIM ,No,29.84
06/11/2018,CHRYSALIS INVESTMENTS LIMITED,Financials,Financial Services ,Guernsey,Europe,MAIN MARKET ,No,573.08
22/04/2003,CHURCHILL CHINA PLC,Consumer Discretionary,Consumer Products and Services,United Kingdom,Europe,AIM ,No,67.64
01/06/2012,CIRATA PLC,Technology,Technology,Jersey,Europe,AIM ,No,25.58
25/08/2021,CITIUS RESOURCES PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,1.3
29/10/2010,CITY OF LONDON INVESTMENT GROUP PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,185.49
04/05/1955,CITY OF LONDON INVESTMENT TRUST PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,"2,193.34"
24/12/2010,CIZZLE BIOTECHNOLOGY HOLDINGS PLC,Health Care ,Health Care  ,United Kingdom,Europe,MAIN MARKET ,No,7.33
19/08/2024,CK INFRASTRUCTURE HOLDINGS LIMITED,Utilities,Utilities,Bermuda,North America,MAIN MARKET ,Yes,"14,206.83"
30/06/1986,CLARKSON PLC,Industrials,Industrial Goods and Services,United Kingdom,Europe,MAIN MARKET ,No,"1,317.31"
16/02/2022,CLEAN POWER HYDROGEN PLC,Energy,Energy,United Kingdom,Europe,AIM ,No,27.47
17/03/2022,CLEANTECH LITHIUM PLC,Basic Materials,Basic Resources,Jersey,Europe,AIM ,No,14.74
30/06/2005,CLONTARF ENERGY PLC,Basic Materials,Basic Resources,United Kingdom,Europe,AIM ,No,3.2
24/07/1962,CLOSE BROTHERS GROUP PLC,Financials,Banks,United Kingdom,Europe,MAIN MARKET ,No,480.66
03/06/2021,CLOUDBREAK DISCOVERY PLC,Energy,Energy,United Kingdom,Europe,MAIN MARKET ,No,1.7
15/02/2006,CLOUDCOCO GROUP PLC,Technology,Technology,United Kingdom,Europe,AIM ,No,1.09
20/06/2013,CLOUDIFIED HOLDINGS LIMITED,Technology,Technology,British Virgin Islands,North America,AIM ,Yes,0.33
27/05/1994,CLS HOLDINGS PLC,Real Estate,Real Estate ,United Kingdom,Europe,MAIN MARKET ,No,286.64
05/02/2016,CMC MARKETS PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,628.19
18/07/1996,CML MICROSYSTEMS PLC,Technology,Technology,United Kingdom,Europe,AIM ,No,41.37
08/07/2021,CMO GROUP PLC,Consumer Discretionary,Retail ,United Kingdom,Europe,AIM ,No,6.93
07/01/1948,COATS GROUP PLC,Industrials,Industrial Goods and Services,United Kingdom,Europe,MAIN MARKET ,No,"1,533.90"
15/11/2018,COBRA RESOURCES PLC,Basic Materials,Basic Resources,United Kingdom,Europe,MAIN MARKET ,No,9.12
28/03/2019,COCA-COLA EUROPACIFIC PARTNERS PLC,Consumer Staples ,"Food, Beverage and Tobacco ",United Kingdom,Europe,MAIN MARKET ,No,"29,500.61"
29/04/2013,COCA-COLA HBC AG,Consumer Staples ,"Food, Beverage and Tobacco ",Switzerland,Europe,MAIN MARKET ,Yes,"10,176.75"
09/03/2022,CODEX ACQUISITIONS PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,0.47
08/03/2006,COHORT PLC,Industrials,Industrial Goods and Services,United Kingdom,Europe,AIM ,No,535.57
19/08/2004,COLEFAX GROUP PLC,Consumer Discretionary,Consumer Products and Services,United Kingdom,Europe,AIM ,No,47.04
31/07/1996,COMMERCIAL INTERNATIONAL BANK (EGYPT) S.A.E.,Financials,Banks,Egypt,Middle East,MAIN MARKET ,Yes,-
02/07/1987,COMPAGNIE DE SAINT-GOBAIN,Industrials,Construction and Materials,France,Europe,MAIN MARKET ,Yes,"37,865.84"
21/12/2009,COMPAL ELECTRONICS INC,Technology,Technology,Taiwan,Asia,ADMISSION TO TRADING ONLY ,Yes,-
02/02/2001,COMPASS GROUP PLC,Consumer Discretionary,Consumer Products and Services,United Kingdom,Europe,MAIN MARKET ,No,"47,375.28"
21/06/2016,COMPTOIR GROUP PLC,Consumer Discretionary,Travel and Leisure,United Kingdom,Europe,AIM ,No,5.09
29/05/1998,COMPUTACENTER PLC,Technology,Technology,United Kingdom,Europe,MAIN MARKET ,No,"2,479.73"
04/07/1996,CONCURRENT TECHNOLOGIES PLC,Technology,Technology,United Kingdom,Europe,AIM ,No,156.99
01/12/2020,CONDUIT HOLDINGS LIMITED,Financials,Insurance,Bermuda,North America,MAIN MARKET ,Yes,751.84
30/05/2000,CONROY GOLD & NATURAL RESOURCES PLC,Basic Materials,Basic Resources,Ireland,Europe,AIM ,Yes,1.18
01/11/2017,CONTANGO HOLDINGS PLC,Energy,Energy,United Kingdom,Europe,MAIN MARKET ,No,12.05
26/10/2016,CONVATEC GROUP PLC,Health Care ,Health Care  ,United Kingdom,Europe,MAIN MARKET ,No,"5,062.98"
27/08/2009,CONYGAR INVESTMENT COMPANY PLC (THE),Real Estate,Real Estate ,United Kingdom,Europe,AIM ,No,24.75
09/10/2017,CORA GOLD LIMITED,Basic Materials,Basic Resources,British Virgin Islands,North America,AIM ,Yes,11.76
06/09/2011,CORAL PRODUCTS PLC,Industrials,Industrial Goods and Services,United Kingdom,Europe,AIM ,No,5.68
22/02/2005,CORCEL PLC,Basic Materials,Basic Resources,United Kingdom,Europe,AIM ,No,6.34
30/05/2018,CORDEL GROUP PLC,Technology,Technology,United Kingdom,Europe,AIM ,No,16.27
16/02/2021,CORDIANT DIGITAL INFRASTRUCTURE LIMITED,Financials,Financial Services ,Guernsey,Europe,MAIN MARKET ,No,643.26
09/10/2000,CORERO NETWORK SECURITY PLC,Technology,Technology,United Kingdom,Europe,AIM ,No,92.19
16/02/2021,CORNISH METALS INC.,Basic Materials,Basic Resources,Canada,North America,AIM ,Yes,48.17
24/02/2017,CORO ENERGY PLC,Energy,Energy,United Kingdom,Europe,AIM ,No,0.5
04/10/2017,CORPUS RESOURCES PLC,Energy,Energy,United Kingdom,Europe,MAIN MARKET ,No,0.3
03/01/1979,COSTAIN GROUP PLC,Industrials,Industrial Goods and Services,United Kingdom,Europe,MAIN MARKET ,No,255.33
11/02/2015,CPPGROUP PLC,Industrials,Industrial Goods and Services,United Kingdom,Europe,AIM ,No,8.94
04/11/1994,CQS NATURAL RESOURCES GROWTH AND INCOME PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,119.01
07/03/2007,CQS NEW CITY HIGH YIELD FUND LIMITED,Financials,Financial Services ,Jersey,Europe,MAIN MARKET ,No,297.66
13/09/2007,CRANEWARE PLC,Health Care ,Health Care  ,United Kingdom,Europe,AIM ,No,672.76
13/07/1993,CRANSWICK PLC,Consumer Staples ,"Food, Beverage and Tobacco ",United Kingdom,Europe,MAIN MARKET ,No,"2,726.42"
04/08/2004,CRAVEN HOUSE CAPITAL PLC,Financials,Financial Services ,United Kingdom,Europe,AIM ,No,0.78
30/08/1994,CREIGHTONS PLC,Consumer Staples ,"Personal Care, Drug and Grocery Stores ",United Kingdom,Europe,MAIN MARKET ,No,20.53
09/12/2016,CREO MEDICAL GROUP PLC,Health Care ,Health Care  ,United Kingdom,Europe,AIM ,No,74.25
18/02/2013,CREST NICHOLSON HOLDINGS PLC,Consumer Discretionary,Consumer Products and Services,United Kingdom,Europe,MAIN MARKET ,No,461.94
02/02/1973,CRH PLC,Industrials,Construction and Materials,Ireland,Europe,MAIN MARKET ,Yes,"54,482.59"
22/08/2006,CRIMSON TIDE PLC,Technology,Technology,United Kingdom,Europe,AIM ,No,6.9
15/03/2006,CRISM THERAPEUTICS CORPORATION,Health Care ,Health Care  ,British Virgin Islands,North America,AIM ,Yes,2.78
29/09/2020,CRITICAL METALS PLC,Basic Materials,Basic Resources,United Kingdom,Europe,MAIN MARKET ,No,0.74
19/03/2021,CRITICAL MINERAL RESOURCES PLC,Basic Materials,Basic Resources,United Kingdom,Europe,MAIN MARKET ,No,1.54
10/06/1964,CRODA INTERNATIONAL PLC,Basic Materials,Chemicals,United Kingdom,Europe,MAIN MARKET ,No,"4,669.41"
16/04/2004,CROMA SECURITY SOLUTIONS GROUP PLC,Industrials,Industrial Goods and Services,United Kingdom,Europe,AIM ,No,11.74
31/08/2007,CROPPER (JAMES) PLC,Basic Materials,Basic Resources,United Kingdom,Europe,AIM ,No,18.87
17/06/2008,CRYSTAL AMBER FUND LIMITED,Financials,Financial Services ,Guernsey,Europe,AIM ,No,76.98
23/12/2021,CT AUTOMOTIVE GROUP PLC,Consumer Discretionary,Automobiles and Parts,United Kingdom,Europe,AIM ,No,25.76
16/04/2008,CT GLOBAL MANAGED PORTFOLIO TRUST PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,151.74
22/03/1999,CT PRIVATE EQUITY TRUST PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,378.97
29/10/1992,CT UK CAPITAL AND INCOME INVESTMENT TRUST PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,325.91
01/03/2007,CT UK HIGH INCOME TRUST PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,109.77
26/06/2013,CURRYS PLC,Consumer Discretionary,Retail ,United Kingdom,Europe,MAIN MARKET ,No,"1,064.92"
26/03/2014,CUSTODIAN PROPERTY INCOME REIT PLC,Real Estate,Real Estate ,United Kingdom,Europe,MAIN MARKET ,No,336.81
25/06/2013,CVC INCOME & GROWTH LIMITED,Financials,Financial Services ,Jersey,Europe,MAIN MARKET ,No,227.7
10/10/2007,CVS GROUP PLC,Consumer Discretionary,Consumer Products and Services,United Kingdom,Europe,AIM ,No,703.05
07/12/2005,CYANCONNODE HOLDINGS PLC,Telecommunications,Telecommunications,United Kingdom,Europe,AIM ,No,41.27
29/07/2019,CYKEL AI PLC,Technology,Technology,United Kingdom,Europe,MAIN MARKET ,No,14.55
30/06/2016,DALATA HOTEL GROUP PLC,Consumer Discretionary,Travel and Leisure,Ireland,Europe,MAIN MARKET ,Yes,835.36
28/02/2023,DAR GLOBAL PLC,Real Estate,Real Estate ,United Kingdom,Europe,MAIN MARKET ,No,872.91
21/03/1997,DATANG INTERNATIONAL POWER GENERATION COMPANY LD,Utilities,Utilities,China,Asia,MAIN MARKET ,Yes,"1,569.04"
29/01/2016,DAVICTUS PLC,Consumer Discretionary,Travel and Leisure,Jersey,Europe,MAIN MARKET ,No,0.57
19/05/1994,DCC PLC,Industrials,Industrial Goods and Services,Ireland,Europe,MAIN MARKET ,Yes,"5,542.09"
08/12/2005,DCI ADVISORS LTD,Real Estate,Real Estate ,Guernsey,Europe,AIM ,No,46.14
18/03/2013,DEKEL AGRI-VISION PLC,Consumer Staples ,"Food, Beverage and Tobacco ",Cyprus,Europe,AIM ,Yes,6.87
27/03/1947,DE LA RUE PLC,Industrials,Industrial Goods and Services,United Kingdom,Europe,MAIN MARKET ,No,223.55
31/03/2021,DELIVEROO PLC,Technology,Technology,United Kingdom,Europe,MAIN MARKET ,No,"2,032.51"
08/11/2001,DELTEX MEDICAL GROUP PLC,Health Care ,Health Care  ,United Kingdom,Europe,AIM ,No,0.76
11/05/2012,DELTIC ENERGY PLC,Energy,Energy,United Kingdom,Europe,AIM ,No,4.65
13/08/1984,DERWENT LONDON PLC,Real Estate,Real Estate ,United Kingdom,Europe,MAIN MARKET ,No,"2,202.03"
24/01/2017,DEVELOP NORTH PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,19.48
04/11/2021,"DEVOLVER DIGITAL, INC.",Consumer Discretionary,Consumer Products and Services,United States,North America,AIM ,Yes,106.76
22/02/2006,DEWHURST GROUP PLC,Technology,Technology,United Kingdom,Europe,AIM ,No,60.41
14/05/1990,DFI RETAIL GROUP HOLDINGS LIMITED,Consumer Staples ,"Personal Care, Drug and Grocery Stores ",Bermuda,North America,MAIN MARKET ,Yes,"19,979.84"
11/03/2015,DFS FURNITURE PLC,Consumer Discretionary,Retail ,United Kingdom,Europe,MAIN MARKET ,No,314.22
21/03/2019,DIACEUTICS PLC,Health Care ,Health Care  ,United Kingdom,Europe,AIM ,No,115.3
01/04/1952,DIAGEO PLC,Consumer Staples ,"Food, Beverage and Tobacco ",United Kingdom,Europe,MAIN MARKET ,No,"53,826.55"
13/10/2005,DIALES PLC,Industrials,Industrial Goods and Services,United Kingdom,Europe,AIM ,No,11.79
09/11/1993,DIALIGHT PLC,Industrials,Industrial Goods and Services,United Kingdom,Europe,MAIN MARKET ,No,47.63
24/05/2021,DIANOMI PLC,Consumer Discretionary,Media,United Kingdom,Europe,AIM ,No,11.41
31/03/2021,DIGITAL 9 INFRASTRUCTURE PLC,Financials,Financial Services ,Jersey,Europe,MAIN MARKET ,No,77.78
30/04/2003,DIGITALBOX PLC,Consumer Discretionary,Media,United Kingdom,Europe,AIM ,No,5.72
15/06/2006,DILLISTONE GROUP PLC,Technology,Technology,United Kingdom,Europe,AIM ,No,1.4
12/06/1960,DIPLOMA PLC,Industrials,Industrial Goods and Services,United Kingdom,Europe,MAIN MARKET ,No,"6,107.70"
27/05/2016,DIRECTA PLUS PLC,Basic Materials,Chemicals,United Kingdom,Europe,AIM ,No,6.27
16/10/2012,DIRECT LINE INSURANCE GROUP PLC,Financials,Insurance,United Kingdom,Europe,MAIN MARKET ,No,"3,511.90"
28/03/1994,DISCOVERIE GROUP PLC,Industrials,Industrial Goods and Services,United Kingdom,Europe,MAIN MARKET ,No,620.53
13/04/2018,DISH TV INDIA LIMITED,Consumer Discretionary,Media,India,Asia,PROFESSIONAL SECURITIES MARKET ,Yes,-
20/01/2004,DISTIL PLC,Consumer Staples ,"Food, Beverage and Tobacco ",United Kingdom,Europe,AIM ,No,1.31
09/05/2019,DISTRIBUTION FINANCE CAPITAL HOLDINGS PLC,Financials,Financial Services ,United Kingdom,Europe,AIM ,No,72.86
28/04/2011,DIVERSE INCOME TRUST (THE) PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,221.74
03/02/2017,DIVERSIFIED ENERGY COMPANY PLC,Energy,Energy,United Kingdom,Europe,MAIN MARKET ,No,670.44
19/05/2008,DOMINO'S PIZZA GROUP PLC,Consumer Discretionary,Travel and Leisure,United Kingdom,Europe,MAIN MARKET ,No,"1,185.72"
02/07/2013,DORIC NIMROD AIR THREE LIMITED,Industrials,Industrial Goods and Services,Guernsey,Europe,MAIN MARKET ,No,137.5
29/03/2011,DOTDIGITAL GROUP PLC,Technology,Technology,United Kingdom,Europe,AIM ,No,266.04
20/04/2023,DOWLAIS GROUP PLC,Consumer Discretionary,Automobiles and Parts,United Kingdom,Europe,MAIN MARKET ,No,968.06
10/12/2020,DOWNING RENEWABLES & INFRASTRUCTURE TRUST PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,152.1
09/05/2017,DOWNING STRATEGIC MICRO-CAP INVESTMENT TRUST PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,1.79
04/10/2013,DP AIRCRAFT I LIMITED,Industrials,Industrial Goods and Services,Guernsey,Europe,MAIN MARKET ,No,11.9
28/07/2010,DP POLAND PLC,Consumer Discretionary,Travel and Leisure,United Kingdom,Europe,AIM ,No,89.67
15/12/2005,DRAX GROUP PLC,Utilities,Utilities,United Kingdom,Europe,MAIN MARKET ,No,"2,277.45"
29/01/2021,DR. MARTENS PLC,Consumer Discretionary,Consumer Products and Services,United Kingdom,Europe,MAIN MARKET ,No,698.68
16/12/2021,DSW CAPITAL PLC,Financials,Financial Services ,United Kingdom,Europe,AIM ,No,15.71
09/07/2012,DUKE CAPITAL LIMITED,Financials,Financial Services ,Guernsey,Europe,AIM ,No,148.36
29/03/2017,DUKEMOUNT CAPITAL PLC,Real Estate,Real Estate ,United Kingdom,Europe,MAIN MARKET ,No,0.8
01/04/1987,DUNEDIN ENTERPRISE INVESTMENT TRUST PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,26.15
21/11/1949,DUNEDIN INCOME GROWTH INVESTMENT TRUST PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,384.76
24/10/2006,DUNELM GROUP PLC,Consumer Discretionary,Retail ,United Kingdom,Europe,MAIN MARKET ,No,"2,002.07"
16/04/2014,EAGLE EYE SOLUTIONS GROUP PLC,Technology,Technology,United Kingdom,Europe,AIM ,No,107.53
